EmployeeID,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevel,AgeGroup
3012-1A41,Female,30,Some Travel,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,1,No,No,10,4,9,7,Doctorate,Above_Avergae
CBCB-9C9D,Male,38,Some Travel,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,0,Yes,No,10,6,10,0,Masters ,Above_Avergae
95D7-1CE9,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,Marketing,HR Business Partner,Married,309964,1,No,No,10,6,10,8,Masters ,Above_Avergae
47A0-559B,Non-Binary,39,Some Travel,Technology,12,IL,White,Computer Science,Engineering Manager,Married,293132,0,No,No,10,10,10,0,Bachelors ,Above_Avergae
42CC-040A,Female,29,Some Travel,Human Resources,29,CA,White,Technical Degree,Recruiter,Single,49606,0,No,Yes,6,1,1,6,High School ,Above_Avergae
C219-6C2E,Male,34,Some Travel,Sales,30,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Divorced,133468,1,No,No,10,3,7,9,High School ,Above_Avergae
D906-B674,Female,42,No Travel ,Technology,45,NY,Black or African American,Information Systems,Engineering Manager,Married,259284,1,No,No,10,2,6,6,Bachelors ,Above_Avergae
3C7D-86ED,Female,40,Some Travel,Sales,3,CA,Native Hawaiian ,Other,Sales Executive,Divorced,104426,1,No,No,10,3,4,6,High School ,Above_Avergae
3D71-8DC2,Male,38,Some Travel,Sales,20,IL,Black or African American,Marketing,Sales Executive,Married,147098,1,No,No,10,5,8,2,Masters ,Above_Avergae
5476-CA0D,Female,31,Frequent Traveller,Technology,4,NY,Native Hawaiian ,Information Systems,Data Scientist,Single,69747,0,No,Yes,6,5,5,1,High School ,Above_Avergae
73CF-4956,Female,32,Some Travel,Technology,42,CA,White,Computer Science,Data Scientist,Single,102022,0,No,No,10,4,5,8,Masters ,Above_Avergae
277A-A6FA,Female,35,Some Travel,Technology,8,NY,Other ,Information Systems,Machine Learning Engineer,Single,272175,0,No,No,10,7,8,2,Masters ,Above_Avergae
8BAB-B4A6,Male,38,Some Travel,Sales,35,NY,Asian or Asian American,Marketing,Manager,Single,340229,0,Yes,No,10,7,9,3,Bachelors ,Above_Avergae
111D-E5EF,Non-Binary,37,Some Travel,Technology,3,IL,White,Computer Science,Software Engineer,Divorced,48395,1,No,No,10,2,2,4,Bachelors ,Above_Avergae
97F4-0B14,Male,33,Some Travel,Technology,4,NY,Mixed or multiple ethnic groups,Other,Senior Software Engineer,Single,97126,0,No,No,10,8,10,2,Masters ,Above_Avergae
5C03-1009,Female,42,Some Travel,Technology,21,IL,Black or African American,Information Systems,Engineering Manager,Married,316208,1,No,No,10,8,8,7,Bachelors ,Above_Avergae
BD1B-53A3,Male,43,Some Travel,Sales,27,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,128885,0,Yes,No,10,1,10,2,Bachelors ,Above_Avergae
DFA9-990E,Male,43,No Travel ,Sales,34,NY,White,Marketing,Sales Executive,Married,108315,2,No,No,10,9,10,10,Masters ,Above_Avergae
ED73-F078,Female,45,Frequent Traveller,Technology,19,NY,Asian or Asian American,Computer Science,Software Engineer,Married,136521,1,No,No,10,3,6,1,No Formal Qualifications,Above_Avergae
C6EC-FEB5,Female,38,Some Travel,Sales,1,CA,White,Economics,Sales Executive,Single,151141,0,No,No,10,3,6,9,No Formal Qualifications,Above_Avergae
D7EE-56FC,Female,39,Frequent Traveller,Sales,17,CA,White,Technical Degree,Sales Executive,Married,107863,1,Yes,Yes,8,8,8,5,High School ,Above_Avergae
C395-8C36,Male,33,Some Travel,Human Resources,3,CA,Mixed or multiple ethnic groups,Technical Degree,Recruiter,Divorced,53616,1,Yes,No,10,2,3,7,No Formal Qualifications,Above_Avergae
E348-E12B,Male,36,No Travel ,Technology,36,IL,White,Information Systems,Software Engineer,Divorced,61298,1,Yes,No,10,3,9,3,High School ,Above_Avergae
B3AF-7E58,Female,45,Some Travel,Human Resources,34,NY,Black or African American,Human Resources,Recruiter,Divorced,54132,1,Yes,No,10,10,10,10,High School ,Above_Avergae
469A-8121,Male,30,Some Travel,Technology,36,CA,American Indian or Alaska Native,Information Systems,Engineering Manager,Married,328415,0,No,No,10,1,10,1,Masters ,Above_Avergae
9E22-6287,Non-Binary,48,Some Travel,Technology,37,CA,White,Computer Science,Machine Learning Engineer,Single,145337,0,No,No,10,10,10,0,Bachelors ,Above_Avergae
D5DA-363A,Male,33,Some Travel,Sales,41,CA,Asian or Asian American,Marketing,Sales Executive,Married,71201,2,No,No,10,8,10,4,High School ,Above_Avergae
BFF3-AADC,Female,31,No Travel ,Human Resources,25,NY,American Indian or Alaska Native,Marketing,Recruiter,Divorced,55682,1,No,No,10,0,2,0,High School ,Above_Avergae
C0BE-FED0,Male,40,Some Travel,Sales,35,NY,White,Marketing,Sales Representative,Married,63455,1,Yes,No,10,4,8,7,High School ,Above_Avergae
D565-284D,Female,47,Frequent Traveller,Sales,21,CA,White,Economics,Sales Executive,Single,65626,0,No,No,10,2,5,1,Bachelors ,Above_Avergae
00D4-DD53,Female,30,Frequent Traveller,Technology,44,CA,Black or African American,Computer Science,Software Engineer,Single,68508,0,Yes,Yes,5,4,4,4,No Formal Qualifications,Above_Avergae
7FFD-C810,Female,32,Some Travel,Technology,22,IL,White,Other,Data Scientist,Married,75821,1,No,No,10,1,5,1,High School ,Above_Avergae
07B2-D67A,Male,44,Some Travel,Sales,40,NY,White,Economics,Manager,Divorced,285620,1,No,No,10,6,8,4,High School ,Above_Avergae
1749-81A2,Female,48,Some Travel,Technology,17,CA,Black or African American,Information Systems,Software Engineer,Single,65860,0,No,No,10,6,7,1,Bachelors ,Above_Avergae
FF14-A43E,Male,47,Some Travel,Technology,41,NY,American Indian or Alaska Native,Computer Science,Data Scientist,Married,40786,0,No,No,10,3,5,5,No Formal Qualifications,Above_Avergae
3CD6-5587,Female,31,Some Travel,Technology,20,CA,White,Computer Science,Software Engineer,Single,59697,0,Yes,Yes,7,5,6,0,High School ,Above_Avergae
4FC2-A40D,Female,32,No Travel ,Technology,12,NY,Black or African American,Computer Science,Engineering Manager,Married,316725,1,No,No,10,6,10,2,Bachelors ,Above_Avergae
9AAB-DCD0,Female,28,Some Travel,Technology,14,IL,White,Business Studies,Software Engineer,Divorced,105984,2,Yes,No,10,7,9,10,High School ,Below_Average
427A-8C69,Male,32,Some Travel,Technology,15,CA,Mixed or multiple ethnic groups,Other,Analytics Manager,Married,393294,1,No,No,10,2,2,2,Bachelors ,Above_Avergae
A923-9EF6,Female,41,Frequent Traveller,Technology,7,CA,Black or African American,Business Studies,Machine Learning Engineer,Single,107008,0,No,No,10,9,10,9,No Formal Qualifications,Above_Avergae
5C61-8F3A,Female,34,Some Travel,Technology,5,CA,White,Information Systems,Data Scientist,Single,127432,0,Yes,No,10,8,9,9,No Formal Qualifications,Above_Avergae
CF2F-8CA3,Male,45,Some Travel,Sales,20,CA,White,Marketing,Sales Executive,Married,76693,1,No,No,10,2,9,10,High School ,Above_Avergae
40A9-8EB0,Female,39,Some Travel,Technology,31,CA,White,Information Systems,Software Engineer,Single,90017,0,Yes,No,10,7,7,3,Bachelors ,Above_Avergae
2E72-4BF1,Male,44,Some Travel,Sales,21,CA,White,Marketing,Manager,Married,426142,0,No,No,10,4,5,4,Bachelors ,Above_Avergae
EE39-C8F2,Female,47,Some Travel,Technology,17,NY,White,Computer Science,Software Engineer,Married,46514,2,No,No,10,9,9,2,High School ,Above_Avergae
C0C7-A3EF,Male,48,No Travel ,Sales,9,CA,White,Economics,Sales Executive,Single,125587,0,No,No,10,10,10,4,Doctorate,Above_Avergae
79F3-8AA5,Female,47,Some Travel,Human Resources,21,NY,Mixed or multiple ethnic groups,Marketing,HR Executive,Single,98608,0,No,No,10,5,10,4,Bachelors ,Above_Avergae
9528-AA17,Female,48,Some Travel,Technology,30,NY,Black or African American,Information Systems,Software Engineer,Married,72794,1,No,No,10,4,5,3,Bachelors ,Above_Avergae
9C71-34AE,Non-Binary,40,Some Travel,Technology,44,CA,White,Computer Science,Software Engineer,Single,69119,0,No,No,10,8,10,5,High School ,Above_Avergae
C79A-E5E1,Female,32,Frequent Traveller,Technology,13,CA,White,Computer Science,Data Scientist,Divorced,48835,1,Yes,Yes,8,5,7,0,No Formal Qualifications,Above_Avergae
5468-EEE1,Male,28,No Travel ,Technology,44,NY,White,Computer Science,Senior Software Engineer,Married,218406,1,No,No,10,10,10,10,High School ,Below_Average
B50B-5A18,Female,40,Frequent Traveller,Technology,27,NY,Black or African American,Computer Science,Software Engineer,Divorced,42333,1,No,No,10,4,5,5,Masters ,Above_Avergae
11AE-3E4D,Male,39,Some Travel,Sales,38,CA,Mixed or multiple ethnic groups,Technical Degree,Manager,Married,300299,1,Yes,No,10,7,7,10,High School ,Above_Avergae
151D-1FF2,Female,34,Frequent Traveller,Sales,15,CA,White,Marketing,Sales Executive,Single,173246,0,Yes,Yes,9,4,7,7,High School ,Above_Avergae
D584-4E31,Female,35,Some Travel,Human Resources,22,CA,Mixed or multiple ethnic groups,Economics,Recruiter,Married,67264,0,No,No,10,8,8,2,No Formal Qualifications,Above_Avergae
0FC8-561B,Male,29,Frequent Traveller,Technology,14,IL,Asian or Asian American,Computer Science,Senior Software Engineer,Married,93591,1,No,No,10,4,10,3,Bachelors ,Above_Avergae
A531-8159,Female,37,No Travel ,Technology,16,NY,Mixed or multiple ethnic groups,Information Systems,Data Scientist,Divorced,82099,2,No,No,10,1,7,6,Bachelors ,Above_Avergae
E7A6-33A3,Female,38,Some Travel,Technology,39,IL,White,Information Systems,Data Scientist,Married,83590,1,No,No,10,2,3,9,Masters ,Above_Avergae
E4F4-11B9,Female,29,Some Travel,Sales,19,NY,White,Marketing,Sales Executive,Single,122811,0,Yes,Yes,2,1,1,1,High School ,Above_Avergae
586E-5C14,Male,40,Some Travel,Technology,9,NY,Black or African American,Computer Science,Software Engineer,Single,58551,0,No,No,10,6,7,3,No Formal Qualifications,Above_Avergae
8A40-C85A,Female,44,Some Travel,Technology,28,CA,Black or African American,Information Systems,Software Engineer,Married,53325,1,Yes,No,10,4,8,4,Bachelors ,Above_Avergae
2B08-7D3D,Male,45,Some Travel,Sales,19,IL,White,Marketing,Sales Representative,Married,47326,1,No,No,10,10,10,10,Masters ,Above_Avergae
C96F-0F3B,Female,41,Some Travel,Sales,16,CA,White,Marketing,Sales Representative,Married,48147,1,No,No,10,8,10,5,No Formal Qualifications,Above_Avergae
9DFE-1FD5,Male,42,Some Travel,Human Resources,4,IL,Black or African American,Human Resources,HR Manager,Married,463051,1,No,No,10,0,10,7,Bachelors ,Above_Avergae
C0A1-EB7D,Female,36,Some Travel,Technology,32,CA,Asian or Asian American,Computer Science,Senior Software Engineer,Married,111294,1,No,No,10,8,8,10,Bachelors ,Above_Avergae
5731-90E6,Non-Binary,35,No Travel ,Technology,27,CA,Asian or Asian American,Computer Science,Analytics Manager,Single,542695,0,No,No,10,5,5,1,Bachelors ,Above_Avergae
FD3F-5255,Female,45,Some Travel,Technology,2,IL,White,Information Systems,Data Scientist,Divorced,64795,3,Yes,No,10,5,8,10,No Formal Qualifications,Above_Avergae
132B-F2B2,Female,35,Some Travel,Technology,36,CA,White,Computer Science,Software Engineer,Married,59086,1,Yes,No,10,2,8,4,Masters ,Above_Avergae
9DB2-76B3,Male,41,Some Travel,Sales,17,NY,White,Economics,Sales Executive,Married,116966,2,No,No,10,4,10,7,Bachelors ,Above_Avergae
