EmployeeID,PerformanceID,Age,BusinessTravel,Department,Attrition,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,RelationshipSatisfaction_text,EnvironmentSatisfaction_text,JobSatisfaction_text,TrainingOpportunitiesWithinYear,WorkLifeBalance,ManagerRating,SelfRating,SelfRating_text,ManagerRating_text
3012-1A41,PR1295,30,Some Travel,Sales,No,3,3,2,Dissatisfied,Neutral,Neutral,3,4,3,3,Meets Expectation,Meets Expectation
3012-1A41,PR1908,30,Some Travel,Sales,No,4,4,5,Very Satisfied,Satisfied ,Satisfied ,3,2,2,3,Meets Expectation,Needs Improvement
3012-1A41,PR2617,30,Some Travel,Sales,No,5,5,4,Satisfied ,Very Satisfied,Very Satisfied,3,4,5,5,Above and Beyond,Above and Beyond
3012-1A41,PR3436,30,Some Travel,Sales,No,1,3,2,Dissatisfied,Very Dissatisfied,Neutral,3,3,4,5,Above and Beyond,Exceeds Expectation 
3012-1A41,PR411,30,Some Travel,Sales,No,3,4,2,Dissatisfied,Neutral,Satisfied ,1,3,3,4,Exceeds Expectation ,Meets Expectation
3012-1A41,PR4378,30,Some Travel,Sales,No,3,2,5,Very Satisfied,Neutral,Dissatisfied,1,3,4,5,Above and Beyond,Exceeds Expectation 
3012-1A41,PR5415,30,Some Travel,Sales,No,4,5,4,Satisfied ,Satisfied ,Very Satisfied,1,4,3,3,Meets Expectation,Meets Expectation
3012-1A41,PR6529,30,Some Travel,Sales,No,4,2,4,Satisfied ,Satisfied ,Dissatisfied,1,2,4,5,Above and Beyond,Exceeds Expectation 
3012-1A41,PR791,30,Some Travel,Sales,No,5,5,2,Dissatisfied,Very Satisfied,Very Satisfied,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
CBCB-9C9D,PR1213,38,Some Travel,Sales,No,3,3,2,Dissatisfied,Neutral,Neutral,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
CBCB-9C9D,PR1800,38,Some Travel,Sales,No,3,5,5,Very Satisfied,Neutral,Very Satisfied,2,2,3,4,Exceeds Expectation ,Meets Expectation
CBCB-9C9D,PR2477,38,Some Travel,Sales,No,5,2,5,Very Satisfied,Very Satisfied,Dissatisfied,2,2,5,5,Above and Beyond,Above and Beyond
CBCB-9C9D,PR3267,38,Some Travel,Sales,No,4,3,4,Satisfied ,Satisfied ,Neutral,3,3,3,4,Exceeds Expectation ,Meets Expectation
CBCB-9C9D,PR376,38,Some Travel,Sales,No,5,5,4,Satisfied ,Very Satisfied,Very Satisfied,3,3,4,4,Exceeds Expectation ,Exceeds Expectation 
CBCB-9C9D,PR4176,38,Some Travel,Sales,No,3,2,2,Dissatisfied,Neutral,Dissatisfied,2,2,3,3,Meets Expectation,Meets Expectation
CBCB-9C9D,PR5192,38,Some Travel,Sales,No,5,3,4,Satisfied ,Very Satisfied,Neutral,2,4,4,4,Exceeds Expectation ,Exceeds Expectation 
CBCB-9C9D,PR6295,38,Some Travel,Sales,No,3,4,4,Satisfied ,Neutral,Satisfied ,3,2,4,5,Above and Beyond,Exceeds Expectation 
CBCB-9C9D,PR741,38,Some Travel,Sales,No,4,3,4,Satisfied ,Satisfied ,Neutral,3,4,5,5,Above and Beyond,Above and Beyond
95D7-1CE9,PR1035,43,Some Travel,Human Resources,No,3,3,2,Dissatisfied,Neutral,Neutral,1,2,2,3,Meets Expectation,Needs Improvement
95D7-1CE9,PR1583,43,Some Travel,Human Resources,No,4,4,3,Neutral,Satisfied ,Satisfied ,2,5,4,4,Exceeds Expectation ,Exceeds Expectation 
